dayofweek,Hours,time1,time2,time3,PULocationID,count
0,2,52,28,31,43,13
0,3,28,31,13,43,4
0,4,31,13,4,43,5
0,5,13,4,5,43,17
0,6,4,5,17,43,32
0,7,5,17,32,43,46
0,8,17,32,46,43,108
0,9,32,46,108,43,109
0,10,46,108,109,43,161
0,11,108,109,161,43,193
0,12,109,161,193,43,290
0,13,161,193,290,43,304
0,14,193,290,304,43,327
0,15,290,304,327,43,307
0,16,304,327,307,43,225
0,17,327,307,225,43,266
0,18,307,225,266,43,213
0,19,225,266,213,43,125
0,20,266,213,125,43,109
0,21,213,125,109,43,86
0,22,125,109,86,43,47
0,23,109,86,47,43,28
1,0,86,47,28,43,22
1,1,47,28,22,43,9
1,2,28,22,9,43,7
1,3,22,9,7,43,5
1,4,9,7,5,43,11
1,5,7,5,11,43,49
1,6,5,11,49,43,77
1,7,11,49,77,43,213
1,8,49,77,213,43,244
1,9,77,213,244,43,164
1,10,213,244,164,43,203
1,11,244,164,203,43,201
1,12,164,203,201,43,225
1,13,203,201,225,43,269
1,14,201,225,269,43,343
1,15,225,269,343,43,300
1,16,269,343,300,43,212
1,17,343,300,212,43,309
1,18,300,212,309,43,299
1,19,212,309,299,43,215
1,20,309,299,215,43,184
1,21,299,215,184,43,133
1,22,215,184,133,43,90
1,23,184,133,90,43,68
2,0,133,90,68,43,25
2,1,90,68,25,43,12
2,2,68,25,12,43,13
2,3,25,12,13,43,35
2,4,12,13,35,43,14
2,5,13,35,14,43,34
2,6,35,14,34,43,90
2,7,14,34,90,43,205
2,8,34,90,205,43,275
2,9,90,205,275,43,175
2,10,205,275,175,43,245
2,11,275,175,245,43,193
2,12,175,245,193,43,244
2,13,245,193,244,43,255
2,14,193,244,255,43,315
2,15,244,255,315,43,297
2,16,255,315,297,43,194
2,17,315,297,194,43,277
2,18,297,194,277,43,282
2,19,194,277,282,43,222
2,20,277,282,222,43,198
2,21,282,222,198,43,165
2,22,222,198,165,43,96
2,23,198,165,96,43,63
3,0,165,96,63,43,41
3,1,96,63,41,43,26
3,2,63,41,26,43,13
3,3,41,26,13,43,6
3,4,26,13,6,43,5
3,5,13,6,5,43,28
3,6,6,5,28,43,72
3,7,5,28,72,43,186
3,8,28,72,186,43,259
3,9,72,186,259,43,210
3,10,186,259,210,43,237
3,11,259,210,237,43,199
3,12,210,237,199,43,248
3,13,237,199,248,43,296
3,14,199,248,296,43,374
3,15,248,296,374,43,306
3,16,296,374,306,43,196
3,17,374,306,196,43,319
3,18,306,196,319,43,254
3,19,196,319,254,43,187
3,20,319,254,187,43,163
3,21,254,187,163,43,169
3,22,187,163,169,43,117
3,23,163,169,117,43,168
4,0,169,117,168,43,41
4,1,117,168,41,43,22
4,2,168,41,22,43,9
4,3,41,22,9,43,4
4,4,22,9,4,43,7
4,5,9,4,7,43,25
4,6,4,7,25,43,96
4,7,7,25,96,43,172
4,8,25,96,172,43,253
4,9,96,172,253,43,176
4,10,172,253,176,43,180
4,11,253,176,180,43,194
4,12,176,180,194,43,267
4,13,180,194,267,43,295
4,14,194,267,295,43,331
4,15,267,295,331,43,350
4,16,295,331,350,43,215
4,17,331,350,215,43,351
4,18,350,215,351,43,317
4,19,215,351,317,43,223
4,20,351,317,223,43,210
4,21,317,223,210,43,173
4,22,223,210,173,43,95
4,23,210,173,95,43,100
5,0,173,95,100,43,44
5,1,95,100,44,43,32
5,2,100,44,32,43,20
5,3,44,32,20,43,7
5,4,32,20,7,43,19
5,5,20,7,19,43,14
5,6,7,19,14,43,27
5,7,19,14,27,43,44
5,8,14,27,44,43,96
5,9,27,44,96,43,142
5,10,44,96,142,43,180
5,11,96,142,180,43,220
5,12,142,180,220,43,278
5,13,180,220,278,43,320
5,14,220,278,320,43,352
5,15,278,320,352,43,330
5,16,320,352,330,43,303
5,17,352,330,303,43,346
5,18,330,303,346,43,284
5,19,303,346,284,43,235
5,20,346,284,235,43,185
5,21,284,235,185,43,121
5,22,235,185,121,43,106
5,23,185,121,106,43,95
6,0,121,106,95,43,69
6,1,106,95,69,43,53
6,2,95,69,53,43,34
6,3,69,53,34,43,14
6,4,53,34,14,43,14
6,5,34,14,14,43,13
6,6,14,14,13,43,33
6,7,14,13,33,43,57
6,8,13,33,57,43,79
6,9,33,57,79,43,136
6,10,57,79,136,43,259
6,11,79,136,259,43,244
6,12,136,259,244,43,304
6,13,259,244,304,43,294
6,14,244,304,294,43,337
6,15,304,294,337,43,323
6,16,294,337,323,43,267
6,17,337,323,267,43,262
6,18,323,267,262,43,166
6,19,267,262,166,43,91
6,20,262,166,91,43,98
6,21,166,91,98,43,84
6,22,91,98,84,43,53
6,23,98,84,53,43,32
0,0,84,53,32,43,12
0,1,53,32,12,43,12
0,2,32,12,12,43,6
0,3,12,12,6,43,1
0,4,12,6,1,43,10
0,5,6,1,10,43,30
0,6,1,10,30,43,78
0,7,10,30,78,43,151
0,8,30,78,151,43,230
0,9,78,151,230,43,174
0,10,151,230,174,43,153
0,11,230,174,153,43,204
0,12,174,153,204,43,248
0,13,153,204,248,43,281
0,14,204,248,281,43,310
0,15,248,281,310,43,275
0,16,281,310,275,43,244
0,17,310,275,244,43,320
0,18,275,244,320,43,262
0,19,244,320,262,43,130
0,20,320,262,130,43,121
0,21,262,130,121,43,88
0,22,130,121,88,43,90
